ID,goal,first_move,first_move_rank,first_move_possible_goals,before_first_move,first_move_serves_goal,total_moves_serves_goal,mean_random_samples_rank,first_move_possible_goal_goals
67505.0,cover green all,"(55, 74)",52,10,"[(92, 54) (98, 42) (107, 70) (92, 57) (92, 58) (99, 42) (103, 70) (65, 42)
 (77, 54) (55, 58) (92, 42) (92, 70) (98, 54) (98, 57) (98, 58) (98, 70)
 (98, 74) (99, 54) (99, 57) (99, 58) (99, 70) (99, 74) (103, 42) (103, 54)
 (103, 57) (103, 58) (103, 74) (107, 42) (107, 54) (107, 57) (107, 58)
 (107, 74) (55, 42) (65, 54) (65, 70) (72, 42) (72, 70) (76, 42) (77, 42)
 (77, 70) (86, 42) (86, 58) (88, 42) (88, 54) (55, 54) (65, 57) (65, 58)
 (65, 74) (72, 74) (76, 57) (77, 57) (77, 58)]",1.0,73,34.777,"['move red C2', 'uncover red all', 'move red B', 'move red A2', 'cover green all', 'uncover blue all', 'move red B2', 'move red C1', 'move red B1', 'move red C']"
67505.0,move green C,"(60, 105)",59,21,"[(75, 70) (92, 102) (92, 105) (75, 102) (75, 105) (92, 68) (92, 70)
 (92, 85) (92, 89) (72, 68) (75, 68) (75, 85) (75, 89) (76, 85) (76, 89)
 (79, 70) (82, 70) (65, 70) (72, 70) (76, 68) (60, 68) (79, 80) (82, 81)
 (65, 81) (79, 81) (82, 80) (65, 37) (65, 68) (65, 80) (72, 102) (72, 105)
 (76, 102) (76, 105) (79, 102) (79, 105) (82, 102) (82, 105) (65, 59)
 (65, 102) (65, 105) (72, 85) (72, 89) (76, 70) (79, 37) (79, 59) (79, 68)
 (79, 85) (79, 89) (82, 37) (82, 59) (82, 68) (82, 85) (82, 89) (65, 85)
 (65, 89) (60, 70) (60, 85) (60, 89) (60, 102)]",1.0,60,29.641,"['fill nocolor C2', 'move blue B2', 'move red C2', 'move blue C', 'uncover red all', 'move blue A', 'move blue A1', 'clear nocolor B', 'clear nocolor B1', 'move blue C2', 'move red A2', 'uncover blue all', 'move red A', 'move red A1', 'move green C2', 'move blue A2', 'move red B2', 'move red C1', 'move green C', 'move blue C1', 'move red C']"
67505.0,clear nocolor A2,"(75, 74)",1,3,"[(75, 54)]",1.0,45,21.896,"['move green A1', 'clear nocolor A2', 'fill nocolor A1']"
67505.0,move red C2,"(79, 105)",28,13,"[(103, 105) (86, 89) (103, 70) (103, 89) (98, 105) (99, 105) (98, 70)
 (98, 89) (99, 70) (99, 89) (76, 89) (79, 70) (55, 89) (77, 70) (86, 102)
 (55, 54) (76, 57) (55, 74) (86, 105) (60, 47) (60, 64) (76, 54) (76, 74)
 (86, 70) (55, 57) (76, 102) (76, 105) (77, 105)]",1.0,51,25.646,"['fill nocolor C2', 'move green A', 'move green B2', 'move red C2', 'move green A2', 'clear nocolor B', 'clear nocolor B1', 'move green C2', 'move green A1', 'move green C1', 'move green C', 'uncover green all', 'move red C']"
67505.0,clear nocolor C,"(86, 64)",40,14,"[(103, 37) (103, 42) (103, 47) (103, 54) (103, 57) (103, 58) (103, 59)
 (103, 61) (103, 64) (103, 74) (103, 80) (103, 81) (107, 37) (107, 42)
 (107, 47) (107, 54) (107, 57) (107, 58) (107, 59) (107, 61) (107, 64)
 (107, 74) (107, 80) (107, 81) (86, 59) (86, 61) (86, 80) (86, 81)
 (88, 37) (88, 47) (88, 64) (86, 37) (86, 42) (86, 58) (88, 42) (88, 54)
 (88, 59) (86, 47) (86, 54) (86, 57)]",1.0,48,23.662,"['move blue B2', 'move red C2', 'fill nocolor B2', 'uncover red all', 'cover blue all', 'clear nocolor C1', 'move red B', 'move red A2', 'move red A', 'move red A1', 'move red B2', 'move red B1', 'move blue B', 'clear nocolor C']"
39232.0,uncover blue all,"(54, 98)",26,21,"[(66, 85) (75, 40) (75, 55) (75, 56) (75, 98) (75, 105) (75, 64) (75, 79)
 (75, 83) (75, 85) (75, 88) (54, 55) (54, 56) (66, 40) (66, 79) (66, 55)
 (66, 105) (66, 88) (66, 98) (54, 64) (54, 83) (54, 88) (66, 56) (66, 64)
 (66, 83) (54, 40)]",1.0,30,14.234,"['move blue B2', 'move green B1', 'move green B2', 'move blue C', 'move green A2', 'move green B', 'clear nocolor A1', 'move red B', 'fill nocolor B1', 'move blue C2', 'uncover blue all', 'move green C2', 'move blue A2', 'move blue B1', 'move red B1', 'move blue B', 'move green C1', 'move green C', 'uncover green all', 'clear nocolor A', 'move blue C1']"
39232.0,clear nocolor B,"(97, 105)",3,5,"[(82, 55) (82, 56) (82, 88)]",1.0,60,29.24,"['fill nocolor C2', 'move red C2', 'clear nocolor B', 'clear nocolor B1', 'move red C']"
39232.0,move blue B,"(66, 98)",23,14,"[(75, 60) (75, 81) (95, 98) (75, 98) (95, 60) (95, 64) (95, 79) (95, 81)
 (95, 83) (71, 64) (71, 83) (75, 64) (75, 79) (75, 83) (86, 79) (54, 55)
 (54, 56) (66, 60) (66, 79) (86, 60) (71, 98) (86, 98) (66, 81)]",1.0,42,20.196,"['move red C2', 'uncover red all', 'clear nocolor C1', 'move red B', 'fill nocolor B1', 'move red A2', 'uncover blue all', 'move red A', 'move red A1', 'move red B2', 'move blue B1', 'move red B1', 'move blue B', 'clear nocolor C']"
39232.0,fill nocolor A2,"(78, 77)",35,14,"[(73, 40) (74, 40) (74, 57) (74, 77) (97, 40) (97, 57) (97, 77) (99, 40)
 (99, 57) (99, 77) (101, 40) (101, 57) (101, 77) (103, 40) (103, 57)
 (103, 77) (106, 40) (106, 57) (106, 77) (78, 40) (82, 40) (82, 57)
 (82, 77) (86, 40) (66, 40) (73, 57) (73, 77) (54, 57) (54, 77) (66, 57)
 (66, 77) (71, 40) (71, 57) (71, 77) (78, 57)]",1.0,39,19.68,"['move red C2', 'uncover red all', 'cover blue all', 'move blue A', 'clear nocolor B', 'clear nocolor B1', 'fill nocolor A2', 'move red A2', 'move red A', 'move red A1', 'move blue A2', 'move red B2', 'move red C1', 'move red C']"
39232.0,uncover green all,"(54, 77)",27,13,"[(82, 81) (82, 98) (74, 40) (74, 57) (74, 77) (82, 60) (82, 79) (74, 98)
 (74, 105) (82, 105) (74, 48) (74, 60) (74, 68) (74, 79) (74, 81) (74, 85)
 (82, 40) (82, 48) (82, 57) (82, 68) (82, 77) (82, 85) (71, 105) (71, 48)
 (71, 68) (71, 85) (54, 57)]",1.0,44,21.429,"['move green B1', 'move green B2', 'move green A2', 'cover blue all', 'move green B', 'clear nocolor A1', 'fill nocolor A2', 'move red A2', 'move green C2', 'move blue A2', 'move green C1', 'move green C', 'uncover green all']"
39232.0,cover red all,"(75, 36)",3,4,"[(74, 36) (95, 40) (75, 40)]",1.0,41,19.654,"['move blue A1', 'clear nocolor A2', 'fill nocolor A1', 'cover red all']"
39232.0,move green C,"(82, 105)",6,6,"[(74, 88) (82, 88) (101, 105) (74, 53) (74, 105) (82, 53)]",1.0,37,18.128,"['fill nocolor C2', 'clear nocolor B2', 'clear nocolor B', 'move green C2', 'move green C', 'uncover green all']"
39232.0,clear nocolor B1,"(97, 83)",2,4,"[(97, 64) (97, 81)]",1.0,30,14.441,"['fill nocolor B2', 'clear nocolor B1', 'cover green all', 'move red B2']"
39232.0,fill nocolor B2,"(97, 81)",1,4,"[(97, 64)]",1.0,39,19.052,"['fill nocolor B2', 'cover blue all', 'clear nocolor B1', 'move red B2']"
39232.0,cover green all,"(78, 55)",38,8,"[(99, 64) (99, 83) (101, 64) (58, 55) (95, 55) (95, 56) (97, 64) (97, 83)
 (103, 88) (58, 56) (75, 55) (75, 56) (95, 64) (95, 83) (95, 88) (97, 55)
 (97, 56) (97, 88) (99, 55) (99, 56) (99, 88) (101, 55) (101, 56)
 (101, 88) (103, 55) (103, 56) (103, 64) (103, 83) (106, 55) (106, 56)
 (106, 64) (106, 83) (58, 64) (58, 83) (58, 88) (75, 64) (75, 83) (75, 88)]",1.0,57,27.597,"['move blue A', 'move blue A1', 'clear nocolor B', 'clear nocolor B1', 'cover green all', 'move red A', 'move red A1', 'fill nocolor A1']"
36524.0,uncover blue all,"(77, 75)",9,9,"[(72, 74) (72, 75) (72, 76) (72, 63) (72, 65) (72, 66) (72, 80) (72, 82)
 (72, 87)]",1.0,27,12.89,"['move blue B2', 'move blue C', 'move blue A1', 'move blue C2', 'uncover blue all', 'move blue B1', 'move blue B', 'cover red all', 'move blue C1']"
